Time (ms),Weight (g),Drag Force (N),Velocity (m/s),Drag Coefficient
3353.853940963745,-0.03,-0.0,-35.92,-0.0
3624.1214275360107,-2530.47,-24.82,-29.85,-0.05
3744.302272796631,-0.03,-0.0,-26.92,-0.0
3855.28564453125,-3036.56,-29.79,-31.57,-0.05
3965.1429653167725,-0.03,-0.0,-24.63,-0.0
4149.930953979492,-506.12,-4.97,-31.6,-0.01
4290.588617324829,-0.03,-0.0,-25.65,-0.0
4422.206401824951,-8097.43,-79.44,-31.78,-0.13
4567.84725189209,-0.03,-0.0,-24.65,-0.0
4684.507846832275,-3542.64,-34.75,-31.83,-0.06
4798.995018005371,-0.03,-0.0,-24.71,-0.0
4907.704830169678,-506.12,-4.97,-31.78,-0.01
5013.424634933472,-0.03,-0.0,-25.75,-0.0
5123.473405838013,-3542.64,-34.75,-31.88,-0.06
5241.111278533936,-0.03,-0.0,-24.74,-0.0
5356.504678726196,-2530.47,-24.82,-31.8,-0.04
5512.814044952393,-0.03,-0.0,-24.73,-0.0
5666.196823120117,-379.6,-3.72,-31.77,-0.01
5819.078207015991,-0.03,-0.0,-25.82,-0.0
6024.528741836548,-2530.47,-24.82,-31.75,-0.04
6132.242918014526,-0.03,-0.0,-24.75,-0.0
6247.931241989136,-2530.47,-24.82,-31.83,-0.04
6380.620002746582,-0.03,-0.0,-24.6,-0.0
6553.622007369995,-506.12,-4.97,-31.71,-0.01
6673.1438636779785,-0.03,-0.0,-25.65,-0.0
6877.817392349243,-2530.47,-24.82,-31.75,-0.04
7020.159959793091,-0.03,-0.0,-24.79,-0.0
7137.988328933716,-2530.47,-24.82,-31.88,-0.04
7272.024869918823,-0.03,-0.0,-24.98,-0.0
7398.650884628296,-506.12,-4.97,-31.79,-0.01
7527.196645736694,-0.03,-0.0,-26.08,-0.0
7639.894962310791,-506.12,-4.97,-31.7,-0.01
7747.989177703857,-0.03,-0.0,-25.96,-0.0
7867.013692855835,-110.74,-1.09,-31.61,-0.0
7977.046012878418,-0.03,-0.0,-26.01,-0.0
8088.411331176758,-506.12,-4.97,-31.67,-0.01
8197.581052780151,-0.03,-0.0,-25.64,-0.0
8308.284759521484,-506.12,-4.97,-31.71,-0.01
8417.35315322876,-0.03,-0.0,-25.9,-0.0
8526.49974822998,-379.6,-3.72,-31.76,-0.01
8640.004396438599,-0.03,-0.0,-25.9,-0.0
8750.330209732056,-506.12,-4.97,-31.74,-0.01
8865.251779556274,-0.03,-0.0,-25.86,-0.0
8971.550703048706,-379.6,-3.72,-31.67,-0.01
9082.935094833374,-0.03,-0.0,-26.01,-0.0
9198.216438293457,-379.6,-3.72,-31.78,-0.01
9316.286087036133,-0.03,-0.0,-25.76,-0.0
9426.588296890259,-2530.47,-24.82,-31.86,-0.04
9537.204027175903,-0.03,-0.0,-24.94,-0.0
9650.859832763672,-63.29,-0.62,-31.75,-0.0
9759.653091430664,-0.03,-0.0,-26.42,-0.0
9869.961023330688,-3036.56,-29.79,-31.9,-0.05
9989.91847038269,-0.03,-0.0,-24.8,-0.0
10125.418663024902,-110.74,-1.09,-31.71,-0.0
