Time (ms),Weight (g),Drag Force (N),Velocity (m/s),Drag Coefficient
102.04458236694336,-0.03,-0.0,-26.15,-0.0
212.62645721435547,-63.29,-0.62,-31.73,-0.0
322.4320411682129,-0.03,-0.0,-27.03,-0.0
431.6267967224121,-0.03,-0.0,-31.74,-0.0
545.8664894104004,-0.03,-0.0,-27.5,-0.0
668.7030792236328,-0.03,-0.0,-32.07,-0.0
772.6185321807861,-0.03,-0.0,-26.82,-0.0
898.8780975341797,-16194.82,-158.87,-31.96,-0.26
1009.1676712036133,-0.03,-0.0,-24.3,-0.0
1114.4678592681885,-8097.43,-79.44,-31.97,-0.13
1227.8201580047607,-0.03,-0.0,-25.11,-0.0
1335.667371749878,-4048.73,-39.72,-31.77,-0.07
1442.415475845337,-0.03,-0.0,-24.89,-0.0
1553.4696578979492,-4048.73,-39.72,-31.78,-0.07
1662.440538406372,-0.03,-0.0,-24.99,-0.0
1781.8372249603271,-506.12,-4.97,-31.78,-0.01
1893.9316272735596,-0.03,-0.0,-26.41,-0.0
2012.6309394836426,-506.12,-4.97,-31.96,-0.01
2134.3913078308105,-0.03,-0.0,-26.43,-0.0
2246.6890811920166,-2530.47,-24.82,-31.94,-0.04
2352.609157562256,-0.03,-0.0,-25.42,-0.0
2460.2835178375244,-506.12,-4.97,-31.95,-0.01
2568.7155723571777,-0.03,-0.0,-26.29,-0.0
2673.112154006958,-506.12,-4.97,-31.97,-0.01
2783.1969261169434,-0.03,-0.0,-26.33,-0.0
2890.164852142334,-2530.47,-24.82,-31.9,-0.04
3000.3271102905273,-0.03,-0.0,-25.4,-0.0
3110.0659370422363,-3542.64,-34.75,-32.03,-0.06
3220.2701568603516,-0.03,-0.0,-25.12,-0.0
3331.386089324951,-2024.38,-19.86,-31.96,-0.03
3442.880153656006,-0.03,-0.0,-25.07,-0.0
3550.931692123413,-379.6,-3.72,-31.9,-0.01
3660.4137420654297,-0.03,-0.0,-26.13,-0.0
3781.2795639038086,-506.12,-4.97,-31.96,-0.01
3901.195526123047,-0.03,-0.0,-26.16,-0.0
4012.664794921875,-379.6,-3.72,-31.97,-0.01
4120.065450668335,-0.03,-0.0,-25.96,-0.0
4239.069700241089,-506.12,-4.97,-31.7,-0.01
5080.226898193359,-110.74,-1.09,-31.7,-0.0
5185.721874237061,-0.03,-0.0,-25.4,-0.0
5308.652400970459,-110.74,-1.09,-31.72,-0.0
5424.217224121094,-0.03,-0.0,-25.05,-0.0
5541.765928268433,-126.55,-1.24,-31.7,-0.0
5650.978326797485,-0.03,-0.0,-28.96,-0.0
5764.091491699219,-0.03,-0.0,-31.88,-0.0
5882.216691970825,-0.03,-0.0,-31.02,-0.0
5988.677501678467,-0.05,-0.0,-32.64,-0.0
6108.229875564575,-0.03,-0.0,-24.36,-0.0
6216.640472412109,-0.05,-0.0,-30.7,-0.0
6327.491283416748,-0.03,-0.0,-28.42,-0.0
6433.191537857056,-0.03,-0.0,-30.07,-0.0
6542.886257171631,-0.03,-0.0,-31.39,-0.0
6654.022216796875,-79.11,-0.78,-30.32,-0.0
6759.591341018677,-0.03,-0.0,-27.89,-0.0
6866.56379699707,-63.3,-0.62,-30.54,-0.0
6983.557224273682,-0.03,-0.0,-27.13,-0.0
7087.052822113037,-2.51,-0.02,-30.52,-0.0
7202.479124069214,-0.03,-0.0,-30.35,-0.0
7309.29160118103,-126.55,-1.24,-32.65,-0.0
7420.907974243164,-0.03,-0.0,-29.15,-0.0
7526.719570159912,-0.07,-0.0,-33.36,-0.0
7631.206750869751,-0.03,-0.0,-24.88,-0.0
7737.678527832031,-0.03,-0.0,-31.98,-0.0
7841.904878616333,-0.03,-0.0,-31.64,-0.0
7947.106838226318,-0.04,-0.0,-31.67,-0.0
8052.37603187561,-0.03,-0.0,-30.72,-0.0
8160.180568695068,-0.03,-0.0,-31.82,-0.0
8268.404722213745,-0.03,-0.0,-29.73,-0.0
8389.149188995361,-0.03,-0.0,-31.58,-0.0
8496.69861793518,-0.03,-0.0,-28.53,-0.0
8607.384443283081,4048.66,39.72,-31.72,0.07
8713.5591506958,-0.03,-0.0,-27.11,-0.0
8824.56374168396,-2530.47,-24.82,-31.58,-0.04
8935.632944107056,-0.03,-0.0,-24.44,-0.0
9050.480604171753,-2530.47,-24.82,-31.62,-0.04
9157.326698303223,-0.03,-0.0,-24.46,-0.0
9262.19391822815,-2530.47,-24.82,-31.66,-0.04
9380.71322441101,-0.03,-0.0,-23.48,-0.0
9491.072416305542,-506.12,-4.97,-31.65,-0.01
9607.940435409546,-0.03,-0.0,-31.58,-0.0
9715.82293510437,-2530.47,-24.82,-31.72,-0.04
9837.147951126099,-0.03,-0.0,-30.29,-0.0
9942.08836555481,-506.12,-4.97,-31.71,-0.01
10048.938274383545,-0.03,-0.0,-29.13,-0.0
